M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,TRIP_START_TIME,TRIP_SEQUENCE,TOTAL_TRAVEL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WAITING_TIME_FIRST_STATION,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WAITING_TIME_FINAL_STATION,BICYCLE_USE,WALKING_TIME_SECOND_STOP,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,BICYCLES,OTHERS
,Majestic baiyapanahali ,Vaidahi hospital White field ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Good shed road kotenpet,Home (ಮನೆ),08:30:00,Metro (ಮೆಟ್ರೋ),90,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),4,Company cab,0,> 5 km (>5 ಕೀ. ಮೀ),2,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),46-60 yrs (46-60 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",1,1,0,0
,Nagasandra to Silk institute ,Nation college ,School/College (ಶಾಲೆ/ಕಾಲೇಜು),Rajarajinagar ram mandir temple ,Home (ಮನೆ),08:45:00,Metro (ಮೆಟ್ರೋ),15,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),7,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),2,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),>2 Lakhs,1,1,0,0
,Baya,Dasavelli,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Krishna theatre Kr puram,Home (ಮನೆ),08:30:00,Bus+metro,180,Walk (ನಡಿಗೆ),15,< 0.5 km (<0.5 ಕೀ. ಮೀ),8,Walk (ನಡಿಗೆ),10,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),10,3,Ordinary Monthly Pass (ಆರ್ಡಿನರಿ ಮಂತ್ಲಿ ಪಾಸ್),100,No crowding - Less than 25% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25% ಗಿ೦ತ ಕಡಿಮೆ ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),36-45 yrs (36-45 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",1,1,0,0
,Baiyapanahali majestic ,Mehkri circle ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),CV Raman nagar ,Home (ಮನೆ),08:30:00,Metro + Bus (ಮೆಟ್ರೋ+ಬಸ್),75,Walk (ನಡಿಗೆ),15,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),0,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),12,13,No (ಇಲ್ಲ),45,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Postgraduate (ಸ್ನಾತಕೋತ್ತರ ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"1,00,001 – 2,00,000",0,0,0,0
,Mantri square,4th block vijaya college opposite jayanagara,School/College (ಶಾಲೆ/ಕಾಲೇಜು),8th,Home (ಮನೆ),08:00:00,Metro (ಮೆಟ್ರೋ),45,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),10,4 km to 4.5 km (4 ರಿಂದ 4.5 ಕೀ. ಮೀ),10,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Student (ವಿದ್ಯಾರ್ಥಿ),,1,1,1,0
,Nag silk,Trinity ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Abbigere,Home (ಮನೆ),08:30:00,Personal vehicle ,60,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),15,4.5 km to 5 km (4.5 ರಿಂದ 5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),2,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),47,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),>2 Lakhs,1,1,0,0
,Nagasandra-Silk board,National ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Near yeswanthpur railway sation,Home (ಮನೆ),09:00:00,Metro (ಮೆಟ್ರೋ),63,Walk (ನಡಿಗೆ),20,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),0,Walk (ನಡಿಗೆ),25,2 km to 2.5 km (2 ರಿಂದ 2.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,No (ಇಲ್ಲ),30,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,I was not making this trip (ನಾನು ಈ ಪ್ರಯಾಣ ಮಾಡುತ್ತಿರಲಿಲ್ಲ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,0,0,0
,South end circle ,"Btm layout, near to kuvempu bustop",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Rajajinagar, 4th block",Home (ಮನೆ),08:55:00,Metro + Bus (ಮೆಟ್ರೋ+ಬಸ್),50,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),2,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),3,0,No (ಇಲ್ಲ),0,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,1,1,0,0
,Nagasandra to Silk institute ,JP nagar jaraganahalli park ,Home (ಮನೆ),Mysore ,Home (ಮನೆ),05:50:00,Train+ metro ,250,Train ,175,> 5 km (>5 ಕೀ. ಮೀ),7,Walk (ನಡಿಗೆ),15,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,7,Mobility card (ಮೊಬಿಲಿಟಿ ಕಾರ್ಡ್),100,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,1,0,0
,Baiyapanahali kengeri ,Anjanapuram Ram nagar ,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Kaveri nagar,Home (ಮನೆ),08:00:00,Bus1 + Metro + Bus2 (ಬಸ್1+ಮೆಟ್ರೋ+ಬಸ್2),240,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),12,0,No (ಇಲ್ಲ),55,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus (ಬಸ್),Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25yrs (18-25 ವರ್ಷ ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"10,001 – 25,000",0,0,0,0
,Nagasandra to Silk institute ,"Taragatapura,",Home (ಮನೆ),Gulbarga ,Home (ಮನೆ),19:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),900,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),120,> 5 km (>5 ಕೀ. ಮೀ),60,Dropped-off by friends/others (ಸ್ನೇಹಿತರು/ಇತರರಿಂದ ಡ್ರಾಪ್-ಆಫ್),60,> 5 km (>5 ಕೀ. ಮೀ),5,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),30,10,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),610,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),10th Std. (SSLC) (10ನೇ ತರಗತಿ (SSLC)),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"10,001 – 25,000",0,1,0,0
,Central college to pattanagere,Global village,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Vivesveshwarayya college,School/College (ಶಾಲೆ/ಕಾಲೇಜು),09:00:00,Metro (ಮೆಟ್ರೋ),30,Walk (ನಡಿಗೆ),2,< 0.5 km (<0.5 ಕೀ. ಮೀ),5,Ola/Uber car (ಓಲಾ/ಉಬರ್ ಕಾರು),10,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),0,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),33,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,0,0,0
Majestic,,"Hp office mahadevpura, near singanna pallas metro station",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"17thmain,17th cross Narayan Nagar 2nd block",Home (ಮನೆ),08:40:00,Metro (ಮೆಟ್ರೋ),100,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),10,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),5,Office cab,40,> 5 km (>5 ಕೀ. ಮೀ),3,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),>2 Lakhs,1,1,1,0
,Yeswatpur majestic ,Global village Peta nagari,Home (ಮನೆ),Near D gate Iisc Mathikere,Home (ಮನೆ),08:30:00,Metro (ಮೆಟ್ರೋ),45,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),10,2 km to 2.5 km (2 ರಿಂದ 2.5 ಕೀ. ಮೀ),2,Auto Rickshaw (ಆಟೋರಿಕ್ಷಾ),10,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),2,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),120,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),>2 Lakhs,0,0,0,0
,Nagasandra-Silk institute,Kadubesanahalli,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Dasarahalli,Friend/Relative’s place (ಸ್ನೇಹಿತರ/ಸಂಬಂಧಿಕರ ಸ್ಥಳ),08:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),10,Walk (ನಡಿಗೆ),90,> 5 km (>5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),5,4,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),160,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"1,00,001 – 2,00,000",1,2,0,0
,Silk institute to Nagasandra ,"K r market,Minto eye hospital ",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Kanakapura,Home (ಮನೆ),08:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),120,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),5,2.5 km to 3 km (2.5 ರಿಂದ 3 ಕೀ. ಮೀ),30,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For egress trip only (ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),1,10,Ordinary Monthly Pass (ಆರ್ಡಿನರಿ ಮಂತ್ಲಿ ಪಾಸ್),38,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus (ಬಸ್),26-35 yrs (26-35 ವರ್ಷ),Graduate (ಪದವಿ),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),"25,001 – 50,000",0,1,0,0
,Silkinstitute,Malleshwaram 5 th cross,Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Thalagantapura, judicial layout",Home (ಮನೆ),09:30:00,Metro (ಮೆಟ್ರೋ),40,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),6,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),30,No crowding  - 25-50% of seats occupied (ಜನಸಂದಣಿ ಇರುವುದಿಲ್ಲ - 25-50% ಆಸನಗಳು ತುಂಬಿರುತ್ತವೆ),Female (ಹೆಣ್ಣು),,,Metro (ಮೆಟ್ರೋ),26-35 yrs (26-35 ವರ್ಷ),Trade/Diploma Certificate (ಟ್ರೇಡ್/ಡಿಪ್ಲೋಮೋ ಸರ್ಟಿಫಿಕೇಟ್),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,1,1,0
Banashankari,,Forum,Shopping place (ಶಾಪಿಂಗ್ ಕೇಂದ್ರ),E city,Home (ಮನೆ),08:30:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),75,Walk (ನಡಿಗೆ),20,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),20,Walk (ನಡಿಗೆ),5,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),5,5,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),150,Very high crowding - All seats AND most standing space occupied (ಅತಿ ಹೆಚ್ಚು ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು ಬಹುತೇಕ ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,I was not making this trip (ನಾನು ಈ ಪ್ರಯಾಣ ಮಾಡುತ್ತಿರಲಿಲ್ಲ),18-25 yrs (18-25 ವರ್ಷ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Unemployed/Retired/Homemaker (ನಿರುದ್ಯೋಗಿ/ನಿವೃತ್ತ/ಮನೆಕೆಲಸ),"<=10,000",1,1,1,0
,Konnankunte cross,"Samuktha kanata office, presidency road",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),Mahalaxmi temple konnankunte cross,School/College (ಶಾಲೆ/ಕಾಲೇಜು),09:35:00,Metro + Bus (ಮೆಟ್ರೋ+ಬಸ್),45,Walk (ನಡಿಗೆ),10,0.5 to 1 km (0.5 ರಿಂದ 1 ಕೀ. ಮೀ),3,Walk (ನಡಿಗೆ),3,< 0.5 km (<0.5 ಕೀ. ಮೀ),,For neither access nor egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಎರಡಕ್ಕೂ ಬಳಸುವುದಿಲ್ಲ),5,0,No (ಇಲ್ಲ),35,High crowding - All seats AND 50-75% of standing space occupied (ಹೆಚ್ಚಿನ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 50-75% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Female (ಹೆಣ್ಣು),Yes (ಹೌದು),Bus (ಬಸ್),Bus (ಬಸ್),36-45yrs (36-45 ವರ್ಷ ),12th Std. (PUC/HSE) (12ನೇ ತರಗತಿ (PUC/HSE)),Employed Private (ಖಾಸಗಿ ಉದ್ಯೋಗ),,0,0,0,0
,Nagasandra-Silk board,"Dayananda sagar institute,  J P Nagar",School/College (ಶಾಲೆ/ಕಾಲೇಜು),6th cross Audugodi MG road,Home (ಮನೆ),08:00:00,Bus + Metro (ಬಸ್+ಮೆಟ್ರೋ),125,Walk (ನಡಿಗೆ),17,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),20,Walk (ನಡಿಗೆ),15,1.5 km to 2 km (1.5 ರಿಂದ 2 ಕೀ. ಮೀ),,For both access and egress trips (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಮತ್ತು ಎಗ್ರೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ),15,4,No (ಇಲ್ಲ),100,Low crowding - All seats AND up to 25% of standing space occupied (ಕಡಿಮೆ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Bus and Metro (ಬಸ್ ಮತ್ತು ಮೆಟ್ರೋ),18-25 yrs (18-25 ವರ್ಷ),Graduate (ಪದವಿ),Student (ವಿದ್ಯಾರ್ಥಿ),"1,00,001 – 2,00,000",2,2,1,0
,Silk institute to Nagasandra ,"City market,fort kr road",Work/Business place (ಕೆಲಸ/ವ್ಯಾಪಾರದ ಸ್ಥಳ),"Doddakalasandra,guballa",Home (ಮನೆ),09:30:00,Metro (ಮೆಟ್ರೋ),20,Two-Wheeler (ದ್ವಿಚಕ್ರ ವಾಹನ),5,1 km to 1.5 km (1 ರಿಂದ 1.5 ಕೀ. ಮೀ),5,Walk (ನಡಿಗೆ),5,"< 0.5 km (<0.5 ಕೀ. ಮೀ,)",,For access trip only (ಆಕ್ಸೆಸ್ ಟ್ರಿಪ್ ಗಾಗಿ ಮಾತ್ರ),,,Metro card (ಮೆಟ್ರೋ ಕಾರ್ಡ್),0,Medium crowding - All seats AND 25-50% of standing space occupied (ಮಧ್ಯಮ ಜನಸಂದಣಿ - ಎಲ್ಲಾ ಆಸನಗಳು ಮತ್ತು 25-50% ನಿಲ್ಲುವ ಜಾಗ ತುಂಬಿರುತ್ತದೆ),Male (ಪುರುಷ),,,Metro (ಮೆಟ್ರೋ),46-60 yrs (46-60 ವರ್ಷ),Graduate (ಪದವಿ),Employed Govt. (ಸರ್ಕಾರಿ ಉದ್ಯೋಗ),"50,001 – 1,00,000",0,1,0,0
