,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
325,325,Deepanjali Nagar (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Venkat school,  rajajinagar ",School,"Deepanjali nagar, ",Home,12:25:00,Metro + Bus ,35,Walk ,10,< 0.5 km ,7,Walk ,8,< 0.5 km ,,For neither access nor egress trips ,6.0,5.0,No ,20,No crowding  - 50-75% of seats occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,46-60 yrs ,10th,Unemployed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,3,1,3,1,1,1,4,0,1,1
326,326,Dasarahalli (green line),South End Circle (green line),"Jk shah classes,South end circle ",Other,People tree hospital ,Home,00:35:00,Metro ,35,Walk ,8,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,1,3,1,1,2,0,1,1
329,329,Dasarahalli (green line),Rajajinagar (green line),Rajajinagar metro,Other,Bgalagunte ,Home,12:30:00,Metro ,40,Ola/Uber car ,10,2.5 km to 3 km ,4,Dropped-off by friends/others ,15,2 km to 2.5 km ,5.0,For access trip only ,,,Metro card ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will not make this trip ,I was not making this trip earlier ,18-25 yrs ,Trade,Employed,"25,001 – 50,000",0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,1,7,11,2,2,0,6,0
333,333,Peenya (green line),Sandal Soap Factory (green line),Orion mall ,Shopping,Platinum City ,Home,14:45:00,Metro ,20,Walk ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,>2 Lakhs,0.0,0,0,0,"No, I will not use a bicycle. .",3,4,1,1,3,1,1,2,0,1,1
337,337,Banashankari (green line),Yeshwanthpur (green line),Yeshwantpur metro station ,Other,Silk board ,Home,14:00:00,Bus + Metro ,90,Walk ,7,0.5 to 1 km ,5,Dropped-off by friends/others ,20,4.5 km to 5 km ,5.0,For both access and egress trips ,7.0,6.0,No ,42,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,2,3,6,3,2,0,1,0
343,343,Banashankari (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Chikmagalur taking train from Majestic ,Other,"Silk board, central silk board office ",Home,14:45:00,Bus + Metro ,75,Walk ,7,0.5 to 1 km ,5,Walk ,7,< 0.5 km ,,For access trip only ,7.0,8.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,8,1,2,3,1,2,3,0,1,1
351,351,Vijayanagar (purple line),Krantivira Sangolli Rayanna Railway Station (purple line),Kranthiveera santilli rayanna railway station (mysore),Other,Near by Vijaynagar metro  station ,Home,15:40:00,Metro ,15,Walk ,5,< 0.5 km ,7,Walk ,3,< 0.5 km ,,For access trip only ,,,No ,15,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,8,1,1,1,1,2,2,0,1,1
355,355,Vijayanagar (purple line),Nagasandra (green line),"Nelmangla, ",Work,"Vijaynagar, govindraj nagar",Home,16:10:00,Metro + Bus ,90,Ola/Uber car ,5,1 km to 1.5 km ,7,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,5.0,Metro card ,30,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,2,1,3,4,1,3,2,0,6,1
357,357,Jayanagar (green line),Lalbagh (green line),Lalbagh,Other,Jaynagar 4th phase ,Home,16:15:00,Metro ,17,Walk ,5,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,1,1,1,1,3,0,1,1
360,360,Vijayanagar (purple line),Baiyappanahalli (purple line),"KRPuram, garden city college near",Friend,"Moodalapalya, Mahalakshmi sweets near",Home,09:30:00,Metro ,90,Two-Wheeler ,10,1.5 km to 2 km ,1,Dropped-off by friends/others ,30,> 5 km ,0.0,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,3,2,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,7,1,1,2,8,3,3,0,0,0
361,361,Baiyappanahalli (purple line),National College (green line),Srinagar ,School,Kolar,Home,08:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,2,Auto Rickshaw ,10,1 km to 1.5 km ,4.0,For neither access nor egress trips ,5.0,10.0,No ,35,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",3,3,1,2,1,4,1,2,0,1,4
362,362,"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",National College (green line),Basawangudi ,Work,Yelahanka ,Home,09:00:00,Bus + Metro ,60,Walk ,2,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,7.0,6.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,1,1,1,2,0,1,1
364,364,Vijayanagar (purple line),Krishna Rajendra Market (green line),"Tipu Sultan palace ,ims library ",Other,Nagarbhavi,Home,10:00:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,2,Walk ,6,< 0.5 km ,,For both access and egress trips ,5.0,9.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,8,1,2,3,1,3,2,0,1,1
367,367,Jnanabharathi (purple line),South End Circle (green line),Allen carrer institute ,School,"Ullal, near mangalore PU college ",Home,10:50:00,Metro ,45,Dropped-off by friends/others ,10,3.5 km to 4 km ,6,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,,0.0,2,0,0,"No, I will not use a bicycle. .",3,3,1,1,9,3,1,2,0,0,1
368,368,Yelachenahalli (green line),Mantri Square Sampige Road (green line),Hebbal,Friend,Near metro yelchenahalli,Home,11:05:00,Metro ,75,Two-Wheeler ,6,1.5 km to 2 km ,7,Auto Rickshaw ,15,> 5 km ,5.0,For neither access nor egress trips ,,,Metro card ,140,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,7,1,1,2,8,1,1,0,0,4
369,369,Yelachenahalli (green line),Mahatma Gandhi Road (purple line),"Chruch st,mg road",Friend,Close to Yelchenahalli metro station ,Home,11:15:00,Metro ,45,Walk ,6,< 0.5 km ,9,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,,0.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,7,1,1,1,1,1,2,0,1,1
371,371,Yelachenahalli (green line),Swami Vivekananda Road (purple line),Near BEML road,Work,ISRO layout ,Home,11:15:00,Metro ,60,Two-Wheeler ,10,2 km to 2.5 km ,8,Auto Rickshaw ,10,2 km to 2.5 km ,5.0,For access trip only ,,,Metro card ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,2,1,1,11,11,2,3,0,0,4
372,372,Mysore Road (purple line),Attiguppe (purple line),"Attiguppe, near TTMC stop",Friend,"Ramabhai ambedkar vasathi nilaya, jnanbharathi ",Home,11:10:00,Bus + Metro ,45,Walk ,5,< 0.5 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,8.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",3,7,1,2,1,1,1,2,0,1,1
375,375,Doddakallasandra (green line),Rajajinagar (green line),Navaranag main road,Other,Near Metro ,Home,12:00:00,Metro ,45,Walk ,7,< 0.5 km ,8,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,8,1,1,1,4,3,3,0,1,1
378,378,Mysore Road (purple line),Mahalakshmi (green line),Near Mahalaxmi metro station 500m,Friend,"Kengeri bonbosco Hostel, kumbalagodu",Home,11:50:00,Bus + Metro ,70,Walk ,7,< 0.5 km ,10,Walk ,6,< 0.5 km ,,For neither access nor egress trips ,5.0,6.0,No ,33,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,7,1,2,1,1,1,2,0,1,1
380,380,Mysore Road (purple line),Chickpet (green line),Chikpett ,Shopping,"Hoskerehalli, kerekodi",Home,11:50:00,Bus + Metro ,90,Walk ,6,< 0.5 km ,2,Walk ,7,< 0.5 km ,,For both access and egress trips ,4.0,6.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,4,1,2,1,1,3,2,0,1,1
384,384,Konanakunte Cross (green line),Chickpet (green line),Chikpete near sudarshan,Shopping,Anjanapura ,Home,12:10:00,Bus + Metro ,50,Walk ,2,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,7.0,7.0,No ,40,No crowding  - 50-75% of seats occupied ,Female,Eligible but do not use ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"No, I will not use a bicycle. .",3,4,1,2,1,1,1,2,0,1,1
385,385,Konanakunte Cross (green line),Sandal Soap Factory (green line),Orion mall,Shopping,"Meenakshi temple, Bannerghatta road ",Home,12:10:00,Metro ,60,Ola/Uber car ,20,4.5 km to 5 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,100,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,3.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,1,6,1,1,2,0,6,1
386,386,Mysore Road (purple line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)","Skates, cubban park ",Other,"Nagarbhavi, MP sports club ",Home,12:40:00,Metro ,40,Car ,15,> 5 km ,8,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,0,0,0,"No, I will not use a bicycle. .",3,8,1,1,8,1,3,2,0,0,1
388,388,Konanakunte Cross (green line),Mahatma Gandhi Road (purple line),"Blossoms ,mg road",Shopping,"JP Nagar,brigade millenium ",Home,12:30:00,Metro ,55,Auto Rickshaw ,25,4 km to 4.5 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,150,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,1,10,1,1,2,0,4,1
389,389,Konanakunte Cross (green line),Yeshwanthpur (green line),Vaishnavi sapphire,Shopping,Electronic city,Home,12:00:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,4.0,9.0,No ,100,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,2,1,1,1,2,0,1,1
393,393,Mysore Road (purple line),Chickpet (green line),Chikpett ,Shopping,"Nagarbhavi, 4th main road, govindraj nagara",Home,13:15:00,Metro ,60,Ola/Uber car ,15,4 km to 4.5 km ,7,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,26,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,1,10,1,2,3,0,6,1
396,396,Indiranagar (purple line),Jayanagar (green line),"Jayanagar 4th block, TTMC",Shopping,"Indranagar,80feet road",Home,14:30:00,Bus + Metro ,40,Walk ,3,< 0.5 km ,10,Ola/Uber car ,5,1.5 km to 2 km ,7.0,For both access and egress trips ,2.0,7.0,Metro card ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,4,1,2,1,2,3,2,0,1,6
398,398,Indiranagar (purple line),Halasuru (purple line),"Halasur, near Kumar stores",Friend,Indranagar near glen's ,Home,14:45:00,Metro ,15,Walk ,10,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,7,1,1,3,1,3,2,0,1,1
407,407,Mantri Square Sampige Road (green line),Magadi Road (purple line),KGLD art gallery ,Work,Seshadripuram ,Home,15:45:00,Metro + Bus ,60,Walk ,10,0.5 to 1 km ,7,Walk ,7,0.5 to 1 km ,,For access trip only ,7.0,8.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,3,3,3,2,2,0,1,1
412,412,Sandal Soap Factory (green line),Lalbagh (green line),Lalbhag ,Friend,Near Orion mall,Home,16:40:00,Metro ,45,Walk ,7,0.5 to 1 km ,8,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,2.0,2,0,0,"No, I will not use a bicycle. .",3,7,1,1,3,3,1,3,0,1,1
413,413,Sandal Soap Factory (green line),Vajarahalli (green line),Rv college of architecture ,School,Renaissance temple bells ,Home,16:40:00,Metro ,60,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,10,1 km to 1.5 km ,3.0,For egress trip only ,,,Metro card ,60,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,0,0,0,"No, I will not use a bicycle. .",3,3,1,1,1,4,4,2,0,1,4
414,414,"Sri Balagangadharanatha Swamiji Station, Hosahalli (purple line)",Mahatma Gandhi Road (purple line),"Mg road, pizza bakery ",Restaurant,"Vijaynagar, near raja, govindraj nagar",Home,16:50:00,Metro ,45,Dropped-off by friends/others ,3,1 km to 1.5 km ,7,Walk ,10,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,5,1,1,4,1,3,1,0,0,1
416,416,Peenya (green line),Konanakunte Cross (green line),Konankunte cross forum mall,Shopping,Near peenya metro,Home,17:00:00,Metro ,60,Walk ,10,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,"1,00,001 – 2,00,000",1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,1,3,1,2,2,0,1,1
418,418,Mahalakshmi (green line),Jayanagar (green line),Jaynagar 4th block,Shopping,Near iskon,Home,17:00:00,Metro ,45,Walk ,15,0.5 to 1 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",3,4,1,1,3,3,1,3,0,1,1
419,419,Goraguntepalya (green line),Mahatma Gandhi Road (purple line),"brigade road,",Shopping,"Gorguntapalya,rns nivas ",Home,17:00:00,Metro ,45,Walk ,10,0.5 to 1 km ,7,Walk ,6,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,1,3,1,2,2,0,1,1
420,420,Baiyappanahalli (purple line),National College (green line),BMS,School,Banaswadi ,Home,08:00:00,Metro ,75,Two-Wheeler ,15,2.5 km to 3 km ,4,Auto Rickshaw ,5,1 km to 1.5 km ,2.0,For both access and egress trips ,,,Metro card ,30,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,7,4,3,2,0,0,4
421,421,Baiyappanahalli (purple line),Banashankari (green line),Ragi gudde,Work,"Kr puram ,kr puram bridge ",Home,08:00:00,Bus1 + Metro + Bus2 ,90,Dropped-off by friends/others ,5,< 0.5 km ,3,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,3.0,4.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Trade,Employed,"1,00,001 – 2,00,000",0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,4,1,3,1,3,0,0,1
423,423,Baiyappanahalli (purple line),Banashankari (green line),Chaithanya company ,Work,Devnahalli near  kr pura,Home,06:00:00,Bus + Metro ,120,Walk ,7,0.5 to 1 km ,20,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,5.0,4.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,3,3,1,2,0,1,1
425,425,Dasarahalli (green line),Rashtreeya Vidyalaya Road (green line),Alchemy roaster cafe ,Work,Chikkbanawar,Home,19:30:00,Bus + Metro ,90,Walk ,10,< 0.5 km ,4,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,4.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,2,1,1,1,3,0,1,1
426,426,Baiyappanahalli (purple line),National College (green line),BMSC,School,Hennur ,Home,08:30:00,Metro ,75,Ola/Uber car ,20,> 5 km ,4,Walk ,20,1 km to 1.5 km ,,For egress trip only ,,,Metro card ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,1,2,0,"No, I will not use a bicycle. .",3,3,1,1,8,4,4,2,0,6,1
427,427,Indiranagar (purple line),Jayanagar (green line),Rv College ,School,"Old airport road ,manipal hospital ",Home,08:20:00,Bus + Metro ,75,Walk ,10,0.5 to 1 km ,17,Walk ,5,< 0.5 km ,,For access trip only ,3.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,"No, I will not use a bicycle. .",3,3,1,2,3,1,2,2,0,1,1
428,428,Baiyappanahalli (purple line),National College (green line),BMSC,School,Horamavu ,Home,08:30:00,Metro ,90,Dropped-off by friends/others ,20,> 5 km ,4,Auto Rickshaw ,5,1.5 km to 2 km ,5.0,For both access and egress trips ,,,Metro card ,40,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,8,2,3,2,0,0,4
429,429,Mahalakshmi (green line),National College (green line),National college ,Work,Near Iskon temple,Home,08:50:00,Bus + Metro ,45,Walk ,10,0.5 to 1 km ,8,Walk ,15,1 km to 1.5 km ,,For egress trip only ,3.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,2,3,4,4,2,0,1,1
430,430,Konanakunte Cross (green line),National College (green line),Bull templ ,Work,Police station ,Home,09:20:00,Metro ,50,Walk ,15,1 km to 1.5 km ,9,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,4,4,3,2,0,1,1
431,431,Konanakunte Cross (green line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Vasanth nagar,Work,Konankunte cross metro station,Home,10:00:00,Metro ,60,Walk ,4,< 0.5 km ,8,Auto Rickshaw ,7,1.5 km to 2 km ,5.0,For egress trip only ,,,Metro card ,50,Very high crowding - All seats AND most standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,2,4,3,0,1,4
434,434,Konanakunte Cross (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Majestic Alankara plaza,Shopping,Near forum mall,Home,10:10:00,Metro ,30,Walk ,7,0.5 to 1 km ,7,Auto Rickshaw ,10,3 km to 3.5 km ,4.0,For neither access nor egress trips ,,,No ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",3,4,1,1,3,5,1,1,0,1,4
436,436,Konanakunte Cross (green line),National College (green line),Shanti nagar main bus stop,Work,Anjanapura ,Home,10:00:00,Metro ,60,Two-Wheeler ,5,4 km to 4.5 km ,8,Auto Rickshaw ,10,4 km to 4.5 km ,5.0,For neither access nor egress trips ,,,Metro card ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,10,10,1,3,0,0,4
439,439,Konanakunte Cross (green line),South End Circle (green line),Residency road,Work,Prestige falcon city,Home,10:45:00,Metro ,60,Walk ,10,0.5 to 1 km ,8,Ola/Uber car ,40,> 5 km ,5.0,For neither access nor egress trips ,,,Metro card ,150,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,3,8,1,3,0,1,6
